expert_id,name,twitter,institution,type,title,href
samuel-j-abrams,Samuel J. Abrams,SamuelAbramsAEI,aei,,Visiting Scholar,https://www.aei.org/profile/samuel-j-abrams/
joseph-antos,Joseph Antos,joeantos,aei,,Wilson H. Taylor Scholar in Health Care and Retirement Policy,https://www.aei.org/profile/joseph-antos/
leon-aron,Leon Aron,AronRTTT,aei,,"Resident Scholar; Director, Russian Studies",https://www.aei.org/profile/leon-aron/
kirsten-axelsen,Kirsten Axelsen,kjacny,aei,,Visiting Fellow,https://www.aei.org/profile/kirsten-axelsen/
john-bailey,John P. Bailey,John_Bailey,aei,,Visiting Fellow,https://www.aei.org/profile/john-bailey/
claude-barfield,Claude Barfield,,aei,,Resident Scholar,https://www.aei.org/profile/claude-barfield/
michael-barone,Michael Barone,MichaelBarone,aei,,Emeritus Fellow,https://www.aei.org/profile/michael-barone/
robert-j-barro,Robert J. Barro,,aei,,Visiting Scholar,https://www.aei.org/profile/robert-j-barro/
roger-bate,Roger Bate,,aei,,Visiting Scholar,https://www.aei.org/profile/roger-bate/
michael-beckley,Michael Beckley,,aei,,Jeane Kirkpatrick Visiting Scholar,https://www.aei.org/profile/michael-beckley/
eric-j-belasco,Eric J. Belasco,ejbelasco,aei,,Visiting Scholar,https://www.aei.org/profile/eric-j-belasco/
ryan-berg,Ryan C. Berg,RyanBergPhD,aei,,Research Fellow,https://www.aei.org/profile/ryan-berg/
andrew-g-biggs,Andrew G. Biggs,biggsag,aei,,Resident Scholar,https://www.aei.org/profile/andrew-g-biggs/
mason-m-bishop,Mason M. Bishop,MasonMBishop,aei,,Adjunct Fellow,https://www.aei.org/profile/mason-m-bishop/
dan-blumenthal,Dan Blumenthal,DAlexBlumenthal,aei,,"Director, Asian Studies; Resident Fellow",https://www.aei.org/profile/dan-blumenthal/
karlyn-bowman,Karlyn Bowman,,aei,,Senior Fellow,https://www.aei.org/profile/karlyn-bowman/
hal-brands,Hal Brands,HalBrands,aei,,Resident Scholar,https://www.aei.org/profile/hal-brands/
alex-brill,Alex Brill,AlexBrill_DC,aei,,Resident Fellow,https://www.aei.org/profile/alex-brill/
arthur-c-brooks,Arthur C. Brooks,arthurbrooks,aei,,President Emeritus,https://www.aei.org/profile/arthur-c-brooks/
richard-burkhauser,Richard Burkhauser,,aei,,Visiting Scholar,https://www.aei.org/profile/richard-burkhauser/
james-c-capretta,James C. Capretta,,aei,,Resident Fellow; Milton Friedman Chair,https://www.aei.org/profile/james-c-capretta/
timothy-p-carney,Timothy P. Carney,TPCarney,aei,,Resident Fellow,https://www.aei.org/profile/timothy-p-carney/
amitabh-chandra,Amitabh Chandra,amitabhchandra2,aei,,John H. Makin Visiting Scholar,https://www.aei.org/profile/amitabh-chandra/
lynne-v-cheney,Lynne V. Cheney,LynneVCheney,aei,,Senior Fellow,https://www.aei.org/profile/lynne-v-cheney/
matthew-continetti,Matthew Continetti,continetti,aei,,Resident Fellow,https://www.aei.org/profile/matthew-continetti/
zack-cooper,Zack Cooper,ZackCooper,aei,,Research Fellow,https://www.aei.org/profile/zack-cooper/
jay-cost,Jay Cost,JayCostTWS,aei,,Gerald R. Ford Visiting Scholar,https://www.aei.org/profile/jay-cost/
daniel-a-cox,Daniel A. Cox,dcoxpolls,aei,,Research Fellow,https://www.aei.org/profile/daniel-a-cox/
juan-jose-daboub,Juan José Daboub,,aei,,Visiting fellow,https://www.aei.org/profile/juan-jose-daboub/
jason-delisle,Jason D. Delisle,delislealleges,aei,,Resident Fellow,https://www.aei.org/profile/jason-delisle/
sadanand-dhume,Sadanand Dhume,dhume,aei,,Resident Fellow,https://www.aei.org/profile/sadanand-dhume/
robert-doar,Robert Doar,RobertDoar,aei,,"President, American Enterprise Institute; Morgridge Scholar",https://www.aei.org/profile/robert-doar/
giselle-donnelly,Giselle Donnelly,,aei,,"Resident Fellow, Defense and National Security",https://www.aei.org/profile/giselle-donnelly/
michael-dougherty,Michael Dougherty,michaelbd,aei,,Visiting Fellow,https://www.aei.org/profile/michael-dougherty/
ross-douthat,Ross Douthat,,aei,,Visiting Fellow,https://www.aei.org/profile/ross-douthat/
colin-dueck,Colin Dueck,,aei,,Visiting Scholar,https://www.aei.org/profile/colin-dueck/
mackenzie-eaglen,Mackenzie Eaglen,MEaglen,aei,,Resident Fellow,https://www.aei.org/profile/mackenzie-eaglen/
nicholas-eberstadt,Nicholas Eberstadt,,aei,,Henry Wendt Chair in Political Economy,https://www.aei.org/profile/nicholas-eberstadt/
jeffrey-eisenach,Jeffrey Eisenach,JeffEisenach,aei,,Visiting Scholar,https://www.aei.org/profile/jeffrey-eisenach/
joseph-b-fuller,Joseph B. Fuller,JosephBFuller,aei,,Visiting Fellow,https://www.aei.org/profile/joseph-b-fuller/
scott-c-ganz,Scott Ganz,,aei,,Research Fellow,https://www.aei.org/profile/scott-c-ganz/
r-richard-geddes,R. Richard Geddes,,aei,,Visiting Scholar,https://www.aei.org/profile/r-richard-geddes/
joseph-w-glauber,Joseph W. Glauber,,aei,,Visiting Scholar,https://www.aei.org/profile/joseph-w-glauber/
jonah-goldberg,Jonah Goldberg,JonahDispatch,aei,,Fellow and Asness Chair in Applied Liberty,https://www.aei.org/profile/jonah-goldberg/
barry-k-goodwin,Barry K. Goodwin,,aei,,Visiting Scholar,https://www.aei.org/profile/barry-k-goodwin/
scott-gottlieb,Scott Gottlieb,ScottGottliebMD,aei,,Resident Fellow,https://www.aei.org/profile/scott-gottlieb/
phil-gramm,Phil Gramm,,aei,,Visiting Scholar,https://www.aei.org/profile/phil-gramm/
william-c-greenwalt,William C. Greenwalt,,aei,,Visiting Fellow,https://www.aei.org/profile/william-c-greenwalt/
jim-harper,Jim Harper,Jim_Harper,aei,,Visiting Fellow,https://www.aei.org/profile/jim-harper/
frederick-m-hess,Frederick M. Hess,rickhess99,aei,,"Resident Scholar; Director, Education Policy Studies ",https://www.aei.org/profile/frederick-m-hess/
